model,control,split,metric,primary,mean,nominal_lo,nominal_hi,corrected_lo,corrected_hi,seed_1001,seed_1002,seed_1003,seed_1004,seed_1005
qwen25_15b_chat,none,public,content_top1,False,1.768614669395152e-05,-0.0002890121931885553,0.00032438448657645837,,,0.0003158240481063723,-5.0531847696988486e-05,-0.0003410899719549221,0.0,0.00016422850501529584
qwen25_15b_chat,none,public,first_ce,False,0.006749958007478418,0.0018391919006483896,0.011660724114308447,,,0.012806234890967994,0.00459203796393326,0.006048848565412879,0.0023558147591702383,0.00794685385790772
qwen25_15b_chat,none,public,first_top1,False,-0.003168685927306636,-0.005359398373003707,-0.0009779734816095648,,,-0.001553277415346388,-0.0037278657968313755,-0.005488246867557223,-0.0012426219322770882,-0.003831417624521105
qwen25_15b_chat,none,public,rest_ce,False,-0.001068429008500793,-0.0016961278963631243,-0.00044073012063846175,,,-0.0016064206867192551,-0.0007230453114105556,-0.0008414825882198801,-0.000555775274912941,-0.0016154211812413333
qwen25_15b_chat,none,public,rest_top1,False,0.00046042502985568225,0.00020400812960621507,0.0007168419301051494,,,0.000575531287319575,0.00046042502985577105,0.000374095336757696,0.00017265938619592802,0.000719414109149441
qwen25_15b_chat,none,public,em,False,-0.0025473749611680586,-0.004344229741076995,-0.0007505201812591223,,,-0.001553277415346388,-0.0012426219322770882,-0.004659832246039164,-0.0018639328984155767,-0.0034172103137620757
qwen25_15b_chat,none,public,f1,False,0.0002976400968659254,-6.547513288459212e-05,0.0006607553266164429,,,-0.00017080321756168804,0.0005184069081637377,0.0005687262919978897,0.0002946366930941524,0.00027723380863553526
qwen25_15b_chat,none,public,avg,False,-0.001124867432150878,-0.001960670658478432,-0.0002890642058233238,,,-0.0008620403164538715,-0.00036210751205612013,-0.0020455529770208036,-0.0007846481026608787,-0.0015699882525627151
qwen25_15b_chat,none,public,generated_tokens,False,0.1609816713264987,0.07237442249566323,0.2495889201573342,,,0.20068344206275235,0.1870146008077036,0.1087294190742476,0.06679092885989313,0.2416899658278968
qwen25_15b_chat,none,public,hit_token_cap,False,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
