stage,task,arm,seed,lr,primary,lf_correct_pct,query_valid_pct,macro_f1_all50,coarse_accuracy,run
confirmation,trec50,hidden_budget,7501,0.0004,89.4,,,69.2287294443039,96.6,confirmation_trec50_hidden_budget_c2_s7501
confirmation,trec50,hidden_budget,7502,0.0004,89.4,,,70.13175555789891,96.0,confirmation_trec50_hidden_budget_c2_s7502
confirmation,trec50,hidden_budget,7503,0.0004,88.6,,,68.46658675067242,96.0,confirmation_trec50_hidden_budget_c2_s7503
confirmation,trec50,hidden_budget,7504,0.0004,90.2,,,68.9204218367127,96.8,confirmation_trec50_hidden_budget_c2_s7504
confirmation,trec50,hidden_both,7500,0.0004,88.4,,,68.40841874375938,96.0,confirmation_trec50_hidden_both_c2_s7500
confirmation,trec50,hidden_both,7501,0.0004,88.2,,,67.10045547836823,96.2,confirmation_trec50_hidden_both_c2_s7501
confirmation,trec50,hidden_both,7502,0.0004,88.4,,,66.50778797862642,96.0,confirmation_trec50_hidden_both_c2_s7502
confirmation,trec50,hidden_both,7503,0.0004,84.8,,,63.38291374759015,92.6,confirmation_trec50_hidden_both_c2_s7503
confirmation,trec50,hidden_both,7504,0.0004,89.0,,,69.9713824755304,95.8,confirmation_trec50_hidden_both_c2_s7504
base,wikisql,base,7398,0.0,19.7265625,16.015625,72.412109375,,,base_wikisql_base_base_s7398
base,trec50,base,7398,0.0,27.8,,,24.90697572519488,59.6,base_trec50_base_base_s7398
