stage,model,task,method,placement,rank,bias,n,mean,reused
common,llama31_8b_base,wikisql,vocab,eu,1,False,5,80.78125,0
subset1,qwen3_06b_base,cluener,none,none,0,False,3,48.921512403260856,0
common,llama31_8b_base,cluener,affine,eu,16,False,3,70.9784900907974,0
common,llama31_8b_base,wikisql,affine,e,16,False,3,80.43619791666667,0
common,qwen3_06b_base,wikisql,vocab,shared,1,False,5,70.56640625,0
confirmation,qwen3_8b_base,cluener,vocab,eu,1,False,5,71.20664146519069,0
common,llama31_8b_base,wikisql,vocab,e,1,False,5,80.76171875,0
subset0,qwen3_06b_base,wikisql,affine,shared,16,True,3,61.42578125,0
subset1,qwen3_06b_base,wikisql,affine,shared,16,True,3,60.44921875,0
common,llama31_8b_base,cluener,vocab,eu,2,False,3,65.25362854755303,0
common,qwen3_8b_base,wikisql,affine,eu,32,True,3,83.203125,0
subset1,qwen3_06b_base,cluener,vocab,shared,1,False,3,49.03612269979467,0
common,qwen3_8b_base,wikisql,vocab,eu,2,False,3,83.52864583333333,0
confirmation,qwen3_4b_base,cluener,vocab,shared,1,False,5,69.41823997345642,0
common,qwen25_7b_base,cluener,affine,eu,32,True,3,70.53434363687377,0
common,qwen3_4b_base,cluener,none,none,0,False,5,68.67958293043213,0
